<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20240613,100000,107540,109000,106600,106600,254
20240613,100100,108960,109000,106700,106700,33
20240613,100200,107990,109050,106710,108980,105
20240613,100300,109000,109890,108540,109600,127
20240613,100400,109500,109600,108820,109190,38
20240613,100500,109200,109980,109070,109860,90
20240613,100600,109570,110210,108950,109600,154
20240613,100700,109600,109600,108730,108730,68
20240613,100800,108670,108770,108300,108300,109
20240613,100900,108300,108640,108000,108640,29
20240613,101000,108020,108640,108020,108450,63
20240613,101100,108640,108730,108000,108300,102
20240613,101200,108300,108430,107960,108220,63
20240613,101300,108320,108320,107960,108140,15
20240613,101400,108150,108300,108140,108300,23
20240613,101500,108310,108310,108000,108050,48
20240613,101600,108170,108170,107800,107880,17
20240613,101700,108150,108190,108130,108190,5
20240613,101800,108130,108180,108000,108120,40
20240613,101900,108080,108100,108000,108000,23
20240613,102000,107980,108200,107950,108190,139
20240613,102100,108190,108410,108180,108410,69
20240613,102200,108360,108360,108330,108330,2
20240613,102300,108320,108320,108200,108200,5
20240613,102400,108200,108210,108200,108210,11
20240613,102600,108350,108400,108150,108400,91
20240613,102700,108400,108400,108400,108400,1
20240613,102800,108400,108530,108110,108370,46
20240613,102900,108450,108720,108150,108590,66
20240613,103000,108420,108420,108420,108420,1
20240613,103100,108680,108800,108640,108750,16
20240613,103200,108770,108990,108720,108940,39
20240613,103300,108920,108920,108920,108920,1
20240613,103400,108910,109150,108910,109130,20
20240613,103500,109000,109130,109000,109130,8
20240613,103600,109130,109130,108960,108960,7
20240613,103700,108970,109130,108910,109130,18
20240613,103800,109130,109150,109110,109150,10
20240613,103900,109160,109160,109150,109150,10
20240613,104000,109200,109200,109070,109070,11
20240613,104100,109070,109070,108900,108900,16
20240613,104200,108880,108920,108880,108920,10
20240613,104300,108920,108980,108900,108900,6
20240613,104400,108870,108870,108760,108830,9
20240613,104500,108790,109020,108790,109020,20
20240613,104600,109070,109070,108960,108960,7
20240613,104700,109070,109070,108950,108950,10
20240613,104800,108950,109060,108950,109060,26
20240613,104900,109060,109070,109030,109030,4
20240613,105000,108940,108940,108940,108940,4
20240613,105100,108920,109020,108920,108920,6
20240613,105200,109070,109100,109070,109100,11
20240613,105300,109200,109300,109200,109300,9
20240613,105400,109370,109370,109370,109370,2
20240613,105500,109380,109540,109380,109540,21
